calibs_file,calibration_id,calibs_start,calibs_stop,extrinsic,checker_size,comment,temporal_step,with_distortion,csv_source,row_number,n_corners,calibs_path,north,center,blur,calibs_fullfile,calibs_recording_datetime,center_ij,north_ij,n,reprojection,projection,distance,inverse
20230114_mirror_dance02_midroll_ID71.MTS,20230114_mirror_dance02_midroll_ID71.MTS,552.0,564.0,555.445,3.9,,2.0,true,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/calibs.csv,53,"(4, 6)",.,,,1,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230114_mirror_dance02_midroll_ID71.MTS,2023-01-14T09:42:32.0,,,5.0,0.5825019882950175,0.08690116555681028,0.12260285055205086,3.792606919729701e-13
20230114_mirror_dance02_midroll_ID73.MTS,20230114_mirror_dance02_midroll_ID73.MTS,244.0,260.0,245.275,3.9,,2.0,true,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/calibs.csv,55,"(4, 6)",.,,,1,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230114_mirror_dance02_midroll_ID73.MTS,2023-01-14T10:02:22.0,,,1.0,0.3214107714505954,0.039905519001784844,0.04386875134511986,7.83978478739505e-13
20230114_mirror_dance02_dance_ID76.MTS,20230114_mirror_dance02_dance_ID76.MTS,303.0,319.0,306.374,3.9,,2.0,true,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/calibs.csv,57,"(4, 6)",.,,,1,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230114_mirror_dance02_dance_ID76.MTS,2023-01-14T14:37:57.0,,,4.0,0.6123761156404929,0.06681208827266105,0.11356638234849536,6.90898109490867e-13
20230114_mirror_dance02_spontaneous_ID77.MTS,20230114_mirror_dance02_spontaneous_ID77.MTS,385.0,399.0,390.513,3.9,,2.0,true,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/calibs.csv,58,"(4, 6)",.,,,1,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230114_mirror_dance02_spontaneous_ID77.MTS,2023-01-14T14:47:00.0,,,3.0,0.13482848595953908,0.01747343907061805,0.02556594660646115,6.383150497320915e-13
20230114_mirror_dance02_midroll_ID81.MTS,20230114_mirror_dance02_midroll_ID81.MTS,276.0,301.0,282.799,3.9,,2.0,true,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/calibs.csv,59,"(4, 6)",.,,,1,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230114_mirror_dance02_midroll_ID81.MTS,2023-01-14T15:47:28.0,,,8.0,3.876763720370235,0.3546087152925921,0.18540570837576617,6.023788464764527e-13
20230116_mirror_dance01_ID84_and_dance10_ID85.MTS,20230116_mirror_dance01_ID84_and_dance10_ID85.MTS,261.0,276.0,261.654,3.9,,2.0,true,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/calibs.csv,60,"(4, 6)",.,,,1,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230116_mirror_dance01_ID84_and_dance10_ID85.MTS,2023-01-16T08:28:40.0,,,7.0,0.846457998719991,0.08927921489066898,0.136829835558234,4.189730766427643e-13
20230116_dance10_ID85_measure.MTS,20230116_dance10_ID85_measure.MTS,0.0,7.0,2.055,3.9,,2.0,true,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/calibs.csv,61,"(4, 6)",.,,,1,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230116_dance10_ID85_measure.MTS,2023-01-16T08:39:15.0,,,5.0,0.9211527383298109,0.10466789562056103,0.13461338459417338,4.972577564656418e-13
20230116_mirror_dance10_midroll_ID87_part2.MTS,20230116_mirror_dance10_midroll_ID87_part2.MTS,28.0,40.0,32.105,3.9,,2.0,true,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/calibs.csv,62,"(4, 6)",.,,,1,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230116_mirror_dance10_midroll_ID87_part2.MTS,2023-01-16T09:09:21.0,,,5.0,0.34393841319799817,0.042368592644997045,0.06292156395841408,6.071963338545014e-13
20230118_mirror_dance01_dance_ID131.MTS,20230118_mirror_dance01_dance_ID131.MTS,186.0,200.0,189.043,3.9,,2.0,true,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/calibs.csv,63,"(4, 6)",.,,,1,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230118_mirror_dance01_dance_ID131.MTS,2023-01-18T14:32:40.0,,,8.0,0.7517555604570274,0.07511343485980186,0.10726397243677459,1.7646368065574816e-12
20230118_mirror_dance10_dance_ID132.MTS,20230118_mirror_dance10_dance_ID132.MTS,199.0,223.0,200.463,3.9,,2.0,true,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/calibs.csv,64,"(4, 6)",.,,,1,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230118_mirror_dance10_dance_ID132.MTS,2023-01-18T14:49:14.0,,,8.0,0.6130082894396962,0.06358749015239819,0.11069185562383393,3.271555823485412e-13
20230118_mirror_dance10_dance_ID133.MTS,20230118_mirror_dance10_dance_ID133.MTS,445.0,457.0,445.846,3.9,,2.0,true,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/calibs.csv,65,"(4, 6)",.,,,1,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230118_mirror_dance10_dance_ID133.MTS,2023-01-18T14:56:41.0,,,7.0,1.636686134960894,0.16452275338474712,0.19481911935604665,6.144830302283986e-13
20230118_mirror_dance01_dance_ID134.MTS,20230118_mirror_dance01_dance_ID134.MTS,174.0,187.0,177.607,3.9,,2.0,true,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/calibs.csv,66,"(4, 6)",.,,,1,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230118_mirror_dance01_dance_ID134.MTS,2023-01-18T15:10:14.0,,,8.0,1.5533035485818274,0.13997375530078188,0.18900861918355322,7.591688457214864e-13
20230118_mirror_dance10_dance_ID135.MTS,20230118_mirror_dance10_dance_ID135.MTS,304.0,322.0,311.5,3.9,*board never really flat on ground throughout video,2.0,true,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/calibs.csv,67,"(4, 6)",.,,,1,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230118_mirror_dance10_dance_ID135.MTS,2023-01-18T15:17:19.0,,,10.0,0.6118310033812598,0.06855208169081556,0.11580554063273304,4.0181408965807163e-13
20230118_mirror_dance01_dance_ID136.MTS,20230118_mirror_dance01_dance_ID136.MTS,147.0,163.0,152.23,3.9,,2.0,true,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/calibs.csv,68,"(4, 6)",.,,,1,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230118_mirror_dance01_dance_ID136.MTS,2023-01-18T15:26:00.0,,,7.0,0.7338821064792085,0.0888175210790943,0.11389549591109821,2.6854411435284614e-12
20230118_mirror_dance10_dance_ID137.MTS,20230118_mirror_dance10_dance_ID137.MTS,266.0,282.0,268.4,3.9,*board never really flat on ground throughout video,2.0,true,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/calibs.csv,69,"(4, 6)",.,,,1,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230118_mirror_dance10_dance_ID137.MTS,2023-01-18T15:30:56.0,,,7.0,0.4908435531787005,0.04879520213815206,0.0655709116446028,4.920589040142877e-13
20230118_mirror_dance01_dance_ID138.MTS,20230118_mirror_dance01_dance_ID138.MTS,265.0,282.0,265.782,3.9,,2.0,true,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/calibs.csv,70,"(4, 6)",.,,,1,/home/yakir/mnt/dacke_lab_data/Data/Elin/Project_AllotheticVsIdiothetic_outdoors/./20230118_mirror_dance01_dance_ID138.MTS,2023-01-18T15:39:02.0,,,8.0,1.3920645725261862,0.17971993472159078,0.35365349167150256,3.6570385455218317e-13
