index,condition,elevation,nr_in_cond,individual,year_extracted,person_extracted,total_rotation,go_down_angle_FACE,exit_angle_BUTT,rotation_category,placed_from_angle_FACE,nr_direction_changes,rotation_1_direction,full_lap_1,stop_1_angle_FACE,rotation_2_direction,full_lap_2,stop_2_angle_FACE,rotation_3_direction,full_lap_3,stop_3_angle_FACE
265,dark,0,4,#04_20170328,2025,Elin,50,270,50,cw,220,0,cw,0,270,,,,,,
266,dark,0,5,#05_20170329,2025,Elin,345,20,195,ccw,5,0,ccw,0,20,,,,,,
267,dark,0,6,#06_20170329,2025,Elin,375,145,90,cw,130,0,cw,1,145,,,,,,
268,dark,0,7,#07_20170329,2025,Elin,NA,,,,NA,NA,NA,NA,NA,,,,,,
269,dark,0,8,#08_20170329,2025,Elin,NA,,,,NA,NA,NA,NA,NA,,,,,,
270,dark,0,9,#09_20170329,2025,Elin,1435,180,350,both,85,1,cw,2,310,ccw,1,180,,,
271,dark,0,10,#10_20170329,2025,Elin,320,180,245,ccw,140,0,ccw,0,180,,,,,,
272,dark,0,11,#11_20170329,2025,Elin,NA,,,,NA,NA,NA,NA,NA,,,,,,
273,dark,0,12,#12_20170329,2025,Elin,395,145,310,cw,110,0,cw,1,145,,,,,,
274,dark,0,13,#13_20170329,2025,Elin,340,30,140,ccw,10,0,ccw,0,30,,,,,,
275,dark,0,14,#14_20170329,2025,Elin,245,240,10,ccw,125,0,ccw,0,240,,,,,,
276,dark,0,15,#15_20170329,2025,Elin,485,5,140,ccw,130,0,ccw,1,5,,,,,,
277,dark,0,16,#16_20170329,2025,Elin,290,180,335,ccw,110,0,ccw,0,180,,,,,,
278,dark,0,17,#17_20170330,2025,Elin,NA,,,,NA,NA,NA,NA,,,,,,,
279,dark,0,18,#18_20170330,2025,Elin,325,145,330,cw,180,0,cw,0,145,,,,,,
280,dark,0,19,#19_20170330,2025,Elin,210,180,280,both,350,1,cw,0,10,ccw,0,180,,,
281,dark,0,20,#20_20170330,2025,Elin,260,80,220,ccw,340,0,ccw,0,80,,,,,,
282,dark,0,21,#21_20170330,2025,Elin,75,65,95,ccw,140,0,ccw,0,65,,,,,,
283,dark,0,22,#22_20170330,2025,Elin,215,340,125,both,155,1,cw,0,175,ccw,0,340,,,
284,dark,0,23,,2025,Elin,NA,,,,,,,,,,,,,,
285,dark,0,24,,2025,Elin,NA,,,,,,,,,,,,,,
286,dark,0,25,,2025,Elin,NA,,,,,,,,,,,,,,
287,dark,0,26,,2025,Elin,NA,,,,,,,,,,,,,,
288,dark,0,27,,2025,Elin,NA,,,,,,,,,,,,,,
289,dark,0,28,,2025,Elin,NA,,,,,,,,,,,,,,
290,dark,0,29,#29_20170331,2025,Elin,75,285,340,cw,210,0,cw,0,285,,,,,,
291,dark,0,30,#30_20170331,2025,Elin,1150,40,215,both,280,2,ccw,0,35,cw,1,310,ccw,0,40
292,dark,0,31,#31_20170331,2025,Elin,255,175,295,ccw,70,0,ccw,0,175,,,,,,
293,dark,0,32,#32_20170331,2025,Elin,885,15,85,both,180,1,cw,1,0,ccw,0,15,,,
294,dark,0,33,#33_20170331,2025,Elin,280,20,285,cw,100,0,cw,0,20,,,,,,
295,dark,0,34,#34_20170403,2025,Elin,320,335,195,both,175,1,ccw,0,275,cw,0,335,,,
296,dark,0,35,#35_20170403,2025,Elin,160,355,60,cw,195,0,cw,0,355,,,,,,
297,dark,0,36,#36_20170403,2025,Elin,190,130,340,ccw,320,0,ccw,0,130,,,,,,
298,dark,0,37,#37_20170403,2025,Elin,265,85,230,cw,180,0,cw,0,85,,,,,,
299,dark,0,38,#38_20170403,2025,Elin,135,270,80,cw,135,0,cw,0,270,,,,,,
300,dark,0,39,#39_20170403,2025,Elin,30,0,290,cw,330,0,cw,0,0,,,,,,
