placed,exit,elevation,id,abs_total,category,nr_direction_changes,rotation_1_direction,full_lap_1,stop_1_angle_FACE,rotation_2_direction,full_lap_2,stop_2_angle_FACE,rotation_3_direction,full_lap_3,stop_3_angle_FACE,cw1,cw2,cw3,dance1,dance2,dance3,minimized_rotation,placed_from_left,shorter_direction1,lap,changed_direction,residual1,too_close
225,30,45,#15_20170418,135,cw,0,cw,0,105,,,,,,,true,,,135,,,true,true,true,false,false,0,false
75,325,45,#16_20170418,155,both,1,cw,0,295,ccw,0,180,,,,true,false,,40,-115,,false,false,false,false,true,115,false
305,30,45,#17_20170418,305,ccw,0,ccw,0,105,,,,,,,false,,,-305,,,false,true,false,false,false,-180,false
135,350,45,#19_20170418,135,ccw,0,ccw,0,50,,,,,,,false,,,-135,,,true,false,true,false,false,-180,false
210,10,45,#20_20170418,210,ccw,0,ccw,0,100,,,,,,,false,,,-210,,,false,true,false,false,false,-180,false
90,35,45,#21_20170419,270,cw,0,cw,0,40,,,,,,,true,,,270,,,false,false,false,false,false,0,false
180,15,45,#22_20170419,240,both,2,ccw,0,60,cw,0,90,ccw,0,10,false,true,false,-130,30,-80,false,false,true,false,true,-130,false
240,0,45,#23_20170419,120,cw,0,cw,0,90,,,,,,,true,,,120,,,true,true,true,false,false,0,false
120,340,45,#24_20170419,150,both,1,cw,0,180,ccw,0,45,,,,true,false,,15,-135,,false,false,false,false,true,135,false
210,315,45,#25_20170419,150,cw,0,cw,0,190,,,,,,,true,,,150,,,true,true,true,false,false,0,false
155,50,45,#26_20170419,155,ccw,0,ccw,0,70,,,,,,,false,,,-155,,,true,false,true,false,false,-180,false
175,95,45,#27_20170419,185,cw,0,cw,0,45,,,,,,,true,,,185,,,false,false,false,false,false,0,false
15,90,45,#28_20170419,45,both,1,cw,0,250,ccw,0,220,,,,true,false,,15,-30,,false,false,false,false,true,30,false
125,65,45,#29_20170419,235,cw,0,cw,0,115,,,,,,,true,,,235,,,false,false,false,false,false,0,false
10,265,45,#30_20170419,70,both,1,ccw,0,185,cw,0,215,,,,false,true,,-40,30,,false,false,true,false,true,-210,false
245,310,45,#31_20170419,115,cw,0,cw,0,95,,,,,,,true,,,115,,,true,true,true,false,false,0,false
155,60,45,#32_20170419,195,both,1,cw,0,325,ccw,0,150,,,,true,false,,20,-175,,false,false,false,false,true,175,false
35,235,60,#01_20170411,35,ccw,0,ccw,0,45,,,,,,,false,,,-35,,,true,false,true,false,false,-180,false
240,275,60,#02_20170411,120,cw,0,cw,0,315,,,,,,,true,,,120,,,true,true,true,false,false,0,false
65,5,60,#03_20170411,65,ccw,0,ccw,0,70,,,,,,,false,,,-65,,,true,false,true,false,false,-180,false
155,350,60,#04_20170411,205,cw,0,cw,0,355,,,,,,,true,,,205,,,false,false,false,false,false,0,false
50,70,60,#05_20170411,310,cw,0,cw,0,175,,,,,,,true,,,310,,,false,false,false,false,false,0,false
135,120,60,#06_20170412,225,cw,0,cw,0,120,,,,,,,true,,,225,,,false,false,false,false,false,0,false
155,280,60,#07_20170412,155,ccw,0,ccw,0,240,,,,,,,false,,,-155,,,true,false,true,false,false,-180,false
175,305,60,#08_20170412,185,cw,0,cw,0,35,,,,,,,true,,,185,,,false,false,false,false,false,0,false
200,335,60,#09_20170412,200,ccw,0,ccw,0,335,,,,,,,false,,,-200,,,false,true,false,false,false,-180,false
225,5,60,#10_20170412,135,cw,0,cw,0,320,,,,,,,true,,,135,,,true,true,true,false,false,0,false
310,5,60,#11_20170412,50,cw,0,cw,0,210,,,,,,,true,,,50,,,true,true,true,false,false,0,false
170,5,60,#12_20170412,190,cw,0,cw,0,190,,,,,,,true,,,190,,,false,false,false,false,false,0,false
170,275,60,#13_20170418,190,cw,0,cw,0,330,,,,,,,true,,,190,,,false,false,false,false,false,0,false
110,20,60,#14_20170418,110,ccw,0,ccw,0,345,,,,,,,false,,,-110,,,true,false,true,false,false,-180,false
45,305,60,#15_20170418,95,both,1,cw,0,345,ccw,0,275,,,,true,false,,25,-70,,false,false,false,false,true,70,false
260,5,60,#16_20170418,100,cw,0,cw,0,240,,,,,,,true,,,100,,,true,true,true,false,false,0,false
25,15,60,#17_20170418,505,both,1,cw,0,200,ccw,1,115,,,,true,false,,60,-445,,false,false,false,true,true,85,false
85,40,60,#19_20170418,275,cw,0,cw,0,310,,,,,,,true,,,275,,,false,false,false,false,false,0,false
65,35,60,#20_20170418,65,ccw,0,ccw,0,345,,,,,,,false,,,-65,,,true,false,true,false,false,-180,false
295,45,60,#21_20170419,425,cw,0,cw,1,290,,,,,,,true,,,425,,,false,true,true,true,false,0,false
275,325,60,#22_20170419,275,ccw,0,ccw,0,350,,,,,,,false,,,-275,,,false,true,false,false,false,-180,false
120,20,60,#23_20170419,240,cw,0,cw,0,300,,,,,,,true,,,240,,,false,false,false,false,false,0,false
280,5,60,#24_20170419,220,both,1,ccw,0,75,cw,0,225,,,,false,true,,-70,150,,false,true,false,false,true,150,false
260,355,60,#25_20170419,260,ccw,0,ccw,0,240,,,,,,,false,,,-260,,,false,true,false,false,false,-180,false
305,310,60,#26_20170419,305,ccw,0,ccw,0,225,,,,,,,false,,,-305,,,false,true,false,false,false,-180,false
185,100,60,#27_20170419,225,both,1,ccw,0,270,cw,0,110,,,,false,true,,-25,200,,false,true,false,false,true,-20,false
