individual_number;placed from;placed from angle (degrees);rotation 1 direction;full lap;go down angle (degrees);rotation category measured;exit angle (degrees);smallest possible angle (degrees);smallest absolute angle (degrees);total absolute degrees of rotation;initial exit
16;ccw;15;ccw;0;195;ccw;140;180;180;180;90
16;cw;165;cw;0;125;cw;155;-40;40;320;90
16;ccw;10;cw;0;180;cw;155;170;170;170;90
16;cw;180;ccw;0;200;ccw;125;20;20;340;90
16;ccw;5;cw;0;170;cw;125;165;165;165;90
16;cw;175;cw;0;170;cw;150;-5;5;355;90
16;ccw;5;ccw;0;165;ccw;150;160;160;200;90
16;cw;175;cw;0;165;cw;160;-10;10;350;90
16;ccw;5;cw;0;150;cw;160;145;145;145;90
16;cw;175;cw;1;200;cw;205;25;25;385;90
17;cw;280;cw;0;235;both;255;-45;45;1005;180
17;ccw;90;ccw;0;245;ccw;250;155;155;205;180
17;cw;280;cw;0;170;both;155;-110;110;670;180
17;ccw;100;ccw;0;215;ccw;175;115;115;245;180
17;cw;300;ccw;0;255;both;165;-45;45;265;180
17;ccw;60;ccw;0;235;both;250;175;175;255;180
17;cw;305;ccw;1;230;ccw;175;-75;75;435;180
17;ccw;60;cw;0;225;cw;180;165;165;165;180
17;cw;295;ccw;0;160;ccw;145;-135;135;135;180
17;ccw;100;cw;0;210;cw;160;110;110;110;180
18;ccw;15;cw;0;155;cw;165;140;140;140;115
18;cw;215;ccw;0;155;ccw;170;-60;60;60;115
18;ccw;25;ccw;0;220;ccw;210;-165;165;165;115
18;cw;195;cw;1;205;cw;195;10;10;370;115
18;ccw;40;cw;0;255;cw;225;-145;145;215;115
18;cw;200;ccw;0;270;ccw;240;70;70;290;115
18;ccw;30;cw;0;260;cw;240;-130;130;230;115
18;cw;185;ccw;0;290;ccw;255;105;105;255;115
18;ccw;30;cw;0;265;cw;255;-125;125;235;115
18;cw;200;ccw;0;270;both;255;70;70;180;115
19;cw;175;ccw;0;30;ccw;70;-145;145;145;70
19;ccw;320;cw;0;85;cw;85;125;125;125;70
19;cw;155;cw;0;70;cw;100;-85;85;275;70
19;ccw;280;cw;0;350;cw;80;70;70;70;70
19;cw;155;cw;0;70;cw;90;-85;85;275;70
19;ccw;280;cw;0;90;cw;100;170;170;170;70
19;cw;140;ccw;0;35;ccw;75;-105;105;105;70
19;ccw;330;ccw;0;75;ccw;90;105;105;255;70
19;cw;175;cw;0;85;both;90;-90;90;270;70
19;ccw;340;cw;0;85;cw;95;105;105;105;70
20;ccw;210;ccw;0;245;ccw;255;35;35;325;310
20;cw;50;ccw;0;280;both;330;-130;130;290;310
20;ccw;235;ccw;0;290;ccw;325;55;55;305;310
20;cw;35;cw;0;255;cw;255;-140;140;220;310
20;ccw;220;cw;1;250;cw;285;30;30;390;310
20;cw;45;cw;0;225;both;255;180;180;220;310
20;ccw;215;ccw;0;230;ccw;230;15;15;345;310
20;cw;65;ccw;0;270;ccw;265;-155;155;155;310
20;ccw;225;ccw;0;270;ccw;250;45;45;315;310
20;cw;45;ccw;0;235;both;260;-170;170;300;310
21;cw;205;ccw;0;80;ccw;90;-125;125;125;100
21;ccw;355;ccw;0;110;ccw;55;115;115;245;100
21;cw;165;ccw;0;5;ccw;335;-160;160;160;100
21;ccw;5;ccw;0;75;ccw;80;70;70;290;100
21;cw;185;ccw;0;85;ccw;125;-100;100;100;100
21;ccw;0;ccw;0;205;ccw;190;-155;155;155;100
21;cw;165;cw;0;125;cw;135;-40;40;320;100
21;ccw;5;ccw;0;225;ccw;220;-140;140;140;100
21;cw;160;ccw;0;135;ccw;145;-25;25;25;100
21;ccw;355;ccw;0;155;ccw;125;160;160;200;100
22;ccw;355;cw;0;30;cw;100;35;35;35;75
22;cw;175;ccw;0;35;ccw;70;-140;140;140;75
22;ccw;10;cw;0;70;both;90;60;60;180;75
22;cw;140;ccw;0;80;ccw;90;-60;60;60;75
22;ccw;25;ccw;0;150;ccw;155;125;125;235;75
22;cw;175;cw;0;75;cw;140;-100;100;260;75
22;ccw;335;cw;0;55;cw;85;80;80;80;75
22;cw;105;ccw;0;315;ccw;355;-150;150;150;75
22;ccw;350;cw;0;75;both;70;85;85;405;75
22;cw;100;cw;0;36;cw;80;-64;64;296;75
23;cw;65;cw;0;180;cw;140;115;115;115;340
23;ccw;245;cw;0;55;cw;65;170;170;170;340
23;cw;45;ccw;0;130;both;80;85;85;245;340
23;ccw;275;cw;0;5;cw;30;90;90;90;340
23;cw;45;cw;0;315;both;305;-90;90;910;340
23;ccw;235;cw;0;345;cw;315;110;110;110;340
23;cw;65;cw;0;240;cw;190;175;175;175;340
23;ccw;245;cw;0;45;cw;20;160;160;160;340
23;cw;55;ccw;0;255;ccw;180;-160;160;160;340
23;ccw;310;ccw;0;80;ccw;75;130;130;230;340
24;ccw;200;cw;0;305;both;320;105;105;445;305
24;cw;65;ccw;0;350;ccw;5;-75;75;75;305
24;ccw;205;ccw;0;350;ccw;350;145;145;215;305
24;cw;45;cw;0;355;cw;340;-50;50;310;305
24;ccw;200;cw;0;340;cw;350;140;140;140;305
24;cw;35;cw;0;135;cw;90;100;100;100;305
24;ccw;225;cw;0;15;cw;20;150;150;150;305
24;cw;30;cw;0;290;both;290;-100;100;360;305
24;ccw;190;ccw;0;315;ccw;280;125;125;235;305
