index;beetle;individual_number;date;video 2 name;run number;placed from;placed from angle theoretical (degrees);start time;placed from angle (degrees);rotation 1 direction;rotation 1 full lap? (degrees);angle before direction change 1 (degrees);rotation 2 direction;rotation 2 full lap? (degrees);angle before direction change 2 (degrees);rotation 3 direction;rotation 3 full lap? (degrees);end time;go down angle (degrees);rotation category manual;rotation category measured;exit angle (degrees);comment;smallest possible angle (degrees);smallest possible direction;smallest possible rotation large;smallest absolute angle (degrees);end angle for rotation 1 (degrees);end angle for rotation 2 (degrees);degrees rotation 1;degrees rotation 2;degrees rotation 3;total absolute degrees of rotation
61;6;6;20221119;FirstVsSubsequent_20221119_cam2_05;9;ccw;245,00;00:10:48;265;cw;;;;;;;;00:10:50;295;no;cw;270;;30;cw;0;30;295;295;30;0;0;30
62;6;6;20221119;FirstVsSubsequent_20221119_cam2_05;10;cw;65,00;00:11:01;85;cw;;;;;;;;00:11:03;235;cw;cw;255;;150;cw;0;150;235;235;150;0;0;150
63;7;7;20221119;FirstVsSubsequent_20221119_cam2_06;1;cw;30,00;00:07:12;5;ccw;;;;;;;;00:07:16;340;no;ccw;5;;-25;ccw;0;25;340;340;-25;0;0;25
64;7;7;20221119;FirstVsSubsequent_20221119_cam2_06;2;ccw;210,00;00:07:38;195;ccw;;;;;;;;00:07:42;0;ccw;ccw;335;;165;cw;1;165;0;0;-195;0;0;195
65;7;7;20221119;FirstVsSubsequent_20221119_cam2_06;3;cw;30,00;00:08:03;70;ccw;;;;;;;;00:08:04;25;no;ccw;15;;-45;ccw;0;45;25;25;-45;0;0;45
66;7;7;20221119;FirstVsSubsequent_20221119_cam2_06;4;ccw;210,00;00:08:23;225;cw;;;;;;;;00:08:25;40;cw;cw;5;;175;cw;1;175;40;40;175;0;0;175
67;7;7;20221119;FirstVsSubsequent_20221119_cam2_06;5;cw;30,00;00:08:42;20;cw;;75;ccw;;;;;00:08:44;35;no;both;0;;15;cw;0;15;75;35;55;-40;0;95
68;7;7;20221119;FirstVsSubsequent_20221119_cam2_06;6;ccw;210,00;00:08:58;135;cw;;;;;;;;00:09:02;40;cw;cw;10;;-95;ccw;0;95;40;40;265;0;0;265
69;7;7;20221119;FirstVsSubsequent_20221119_cam2_06;7;cw;30,00;00:09:18;55;ccw;;;;;;;;00:09:21;10;ccw;ccw;5;;-45;ccw;0;45;10;10;-45;0;0;45
70;7;7;20221119;FirstVsSubsequent_20221119_cam2_06;8;ccw;210,00;00:09:36;200;cw;;;;;;;;00:09:38;20;cw;cw;20;;180;cw;1;180;20;20;180;0;0;180
71;7;7;20221119;FirstVsSubsequent_20221119_cam2_06;9;cw;30,00;00:09:54;25;ccw;;;;;;;;00:09:55;20;ccw;ccw;10;previously 0° rotation but upon double checking its more;-5;ccw;0;5;20;20;-5;0;0;5
72;7;7;20221119;FirstVsSubsequent_20221119_cam2_06;10;ccw;210,00;00:10:09;210;ccw;;;;;;;;00:10:12;50;ccw;ccw;25;;-160;ccw;0;160;50;50;-160;0;0;160
73;8;8;20221119;FirstVsSubsequent_20221119_cam2_06;1;ccw;280,00;00:07:53;270;ccw;;;;;;;;00:07:55;220;no;ccw;160;;-50;ccw;0;50;220;220;-50;0;0;50
74;8;8;20221119;FirstVsSubsequent_20221119_cam2_06;2;cw;100,00;00:08:15;100;ccw;;;;;;;;00:08:18;180;ccw;ccw;175;;80;cw;0;80;180;180;-280;0;0;280
75;8;8;20221119;FirstVsSubsequent_20221119_cam2_06;3;ccw;280,00;00:08:33;275;cw;;;;;;;;00:08:35;85;cw;cw;130;;170;cw;1;170;85;85;170;0;0;170
76;8;8;20221119;FirstVsSubsequent_20221119_cam2_06;4;cw;100,00;00:08:49;110;ccw;;;;;;;;00:08:50;105;no;ccw;155;;-5;ccw;0;5;105;105;-5;0;0;5
77;8;8;20221119;FirstVsSubsequent_20221119_cam2_06;5;ccw;280,00;00:09:06;235;ccw;;;;;;;;00:09:07;180;ccw;ccw;155;;-55;ccw;0;55;180;180;-55;0;0;55
78;8;8;20221119;FirstVsSubsequent_20221119_cam2_06;6;cw;100,00;00:09:26;70;cw;;;;;;;;00:09:27;215;cw;cw;185;;145;cw;0;145;215;215;145;0;0;145
79;8;8;20221119;FirstVsSubsequent_20221119_cam2_06;7;ccw;280,00;00:09:44;260;ccw;;225;cw;;270;ccw;;00:09:48;140;both;both;165;;-120;ccw;0;120;225;270;-35;45;-130;210
80;8;8;20221119;FirstVsSubsequent_20221119_cam2_06;8;cw;100,00;00:09:59;115;cw;;;;;;;;00:10:01;240;cw;cw;175;;125;cw;0;125;240;240;125;0;0;125
81;8;8;20221119;FirstVsSubsequent_20221119_cam2_06;9;ccw;280,00;00:10:18;255;ccw;;;;;;;;00:10:22;205;no;ccw;160;;-50;ccw;0;50;205;205;-50;0;0;50
82;8;8;20221119;FirstVsSubsequent_20221119_cam2_06;10;cw;100,00;00:10:40;100;ccw;;;;;;;;00:10:43;235;ccw;ccw;190;;135;cw;0;135;235;235;-225;0;0;225
