index;run_id;beetle_id;runs_path;file;runs_start;runs_stop;POI;runs_dance;spontaneous_start;spontaneous_end;distance_cm;place;light;dance_by;at_run;condition;calibration_id;start_location;comment
35;25;ID02;;20230111_mirror_dance10_midroll_ID02.MTS;00:06:22.4;00:06:55.9;00:06:26;;;;460;outdoors;shift;no;10;450cm_midroll_run10;20230111_mirror_dance10_midroll_ID02.MTS;;
36;26;ID04;;20230111_mirror_dance10_ID04_dance_part2.MTS;00:01:26.8;00:01:31.226;;00:01:31.226;;;460;outdoors;shift;hold;10;450cm_dance_run10_pre;20230111_mirror_dance10_ID04_dance_part2.MTS;;
37;26;ID04;;20230111_mirror_dance10_ID04_dance_part2.MTS;00:01:37;00:01:50;;;;;460;outdoors;shift;hold;10;450cm_dance_run10_post;20230111_mirror_dance10_ID04_dance_part2.MTS;;
38;27;ID08;;20230111_mirror_dance10_spontaneous_ID08.MTS;00:05:10.25;00:05:36;00:05:17.089;;00:05:18.619;00:05:20.3;460;outdoors;shift;no;10;450cm_spontaneous_run10_pre;20230111_mirror_dance10_spontaneous_ID08.MTS;;
39;28;ID10;;20230111_mirror_dance10_dance_ID10.MTS;00:03:11;00:03:17;;00:03:17;;;460;outdoors;shift;hold;10;450cm_dance_run10_pre;20230111_mirror_dance10_dance_ID10.MTS;;
40;28;ID10;;20230111_mirror_dance10_dance_ID10.MTS;00:03:27;00:03:43;;;;;460;outdoors;shift;hold;10;450cm_dance_run10_post;20230111_mirror_dance10_dance_ID10.MTS;;
41;29;ID16;;20230112_mirror_dance10_midroll_ID16.MTS;00:05:09;00:05:32;00:05:12;;;;460;outdoors;shift;no;10;450cm_midroll_run10;20230112_mirror_dance10_midroll_ID16.MTS;;
42;30;ID18;;20230112_mirror_dance10_dance_ID18.MTS;00:02:50;00:02:54.201;;00:02:54.201;;;460;outdoors;shift;hold;10;450cm_dance_run10_pre;20230112_mirror_dance10_dance_ID18_measure.MTS;;
43;30;ID18;;20230112_mirror_dance10_dance_ID18.MTS;00:03:00;00:03:14.348;;;;;460;outdoors;shift;hold;10;450cm_dance_run10_post;20230112_mirror_dance10_dance_ID18_measure.MTS;;
44;31;ID20;;20230112_mirror_dance10_midroll_ID20.MTS;00:09:00.069;00:09:31.742;00:09:05.468;;;;460;outdoors;shift;no;10;450cm_midroll_run10;20230112_mirror_dance10_midroll_ID20.MTS;;
45;32;ID22;;20230112_mirror_dance10_dance_ID22.MTS;00:04:15;00:04:21.2;;00:04:21.2;;;460;outdoors;shift;hold;10;450cm_dance_run10_pre;20230112_mirror_dance10_dance_ID22.MTS;;
46;32;ID22;;20230112_mirror_dance10_dance_ID22.MTS;00:04:27;00:04:38.033;;;;;460;outdoors;shift;hold;10;450cm_dance_run10_post;20230112_mirror_dance10_dance_ID22.MTS;;
47;33;ID30;;20230112_mirror_dance10_ID30_dance01_ID31.MTS;00:05:20.317;00:05:36;00:05:23.108;;;;460;outdoors;shift;no;10;450cm_midroll_run10;20230112_mirror_dance10_ID30_dance01_ID31.MTS;;
48;34;ID33;;20230112_mirror_dance10_dance_ID33.MTS;00:05:30.758;00:05:35.254;;00:05:35.254;;;460;outdoors;shift;hold;10;450cm_dance_run10_pre;20230112_mirror_dance10_dance_ID33.MTS;;
49;34;ID33;;20230112_mirror_dance10_dance_ID33.MTS;00:05:41.555;00:06:01.443;;;;;460;outdoors;shift;hold;10;450cm_dance_run10_post;20230112_mirror_dance10_dance_ID33.MTS;;
50;35;ID37;;20230112_mirror_dance10_midroll_ID37.MTS;00:04:00;00:04:14.465;00:04:03.396;;;;460;outdoors;shift;no;10;450cm_midroll_run10;20230112_mirror_dance10_midroll_ID37.MTS;;
51;36;ID39;;20230113_mirror_dance10_dance_ID39.MTS;00:07:45.499;00:07:50.539;;00:07:50.539;;;460;outdoors;shift;hold;10;450cm_dance_run10_pre;20230113_mirror_dance10_dance_ID39.MTS;;
52;36;ID39;;20230113_mirror_dance10_dance_ID39.MTS;00:07:56.206;00:08:05.655;;;;;460;outdoors;shift;hold;10;450cm_dance_run10_post;20230113_mirror_dance10_dance_ID39.MTS;;
53;37;ID43;;20230113_mirror_dance10_spontaneous_ID43.MTS;00:08:21.549;00:08:53.402;00:08:28.930;;00:08:30.730;00:08:32.5;460;outdoors;shift;no;10;450cm_spontaneous_run10_pre;20230113_mirror_dance10_spontaneous_ID43.MTS;;
54;38;ID45;;20230113_mirror_dance10_dance_ID45.MTS;00:04:46;00:04:50.447;;00:04:50.447;;;460;outdoors;shift;hold;10;450cm_dance_run10_pre;20230113_mirror_dance10_dance_ID45.MTS;;
55;38;ID45;;20230113_mirror_dance10_dance_ID45.MTS;00:05:01;00:05:12.761;;;;;460;outdoors;shift;hold;10;450cm_dance_run10_post;20230113_mirror_dance10_dance_ID45.MTS;;
56;39;ID50;;20230113_mirror_dance10_spontaneous_ID50.MTS;00:04:50.810;00:005:27.8;00:04:53.960;;00:04:55.759,00:05:14.295;00:05:03.4,00:05:18;460;outdoors;shift;no;10;450cm_spontaneous_run10_pre;20230113_mirror_dance10_spontaneous_ID50.MTS;;
57;40;ID52;;20230113_mirror_dance10_dance_ID52.MTS;00:02:54.638;00:02:58.866;;00:02:58.866;;;460;outdoors;shift;hold;10;450cm_dance_run10_pre;20230113_mirror_dance10_dance_ID52.MTS;;
58;40;ID52;;20230113_mirror_dance10_dance_ID52.MTS;00:03:02.376;00:03:25.771;;;;;460;outdoors;shift;hold;10;450cm_dance_run10_post;20230113_mirror_dance10_dance_ID52.MTS;;
59;41;ID56;;20230113_mirror_dance10_midroll_ID56.MTS;00:04:03.752;00:04:29.357;00:04:08.161;;;;460;outdoors;shift;no;10;450cm_midroll_run10;20230113_mirror_dance10_midroll_ID56.MTS;;
60;42;ID58;;20230113_mirror_dance10_dance_ID58.MTS;00:03:52.769;00:03:56.818;;00:03:56.818;;;460;outdoors;shift;hold;10;450cm_dance_run10_pre;20230113_mirror_dance10_dance_ID58.MTS;;
61;42;ID58;;20230113_mirror_dance10_dance_ID58.MTS;00:04:07.709;00:04:25.164;;;;;460;outdoors;shift;hold;10;450cm_dance_run10_post;20230113_mirror_dance10_dance_ID58.MTS;;
62;43;ID61;;20230114_mirror_dance02_midroll_ID61.MTS;00:02:37;00:03:04.131;00:02:40.911;;;;460;outdoors;shift;no;2;450cm_midroll_run02;20230114_mirror_dance02_midroll_ID61.MTS;;
63;44;ID62;;20230114_mirror_dance02_dance_ID62.MTS;00:02:31;00:02:35.655;;00:02:35.655;;;460;outdoors;shift;hold;2;450cm_dance_run02_pre;20230114_mirror_dance02_dance_ID62.MTS;;
64;44;ID62;;20230114_mirror_dance02_dance_ID62.MTS;00:02:41;00:02:56.642;;;;;460;outdoors;shift;hold;2;450cm_dance_run02_post;20230114_mirror_dance02_dance_ID62.MTS;;
65;45;ID63;;20230114_mirror_dance02_midroll_ID63.MTS;00:02:07;00:02:28;00:02:11.715;;;;460;outdoors;shift;no;2;450cm_midroll_run02;20230114_mirror_dance02_midroll_ID63.MTS;;
66;46;ID64;;20230114_mirror_dance02_dance_ID64.MTS;00:06:32.222;00:06:37.382;;00:06:37.382;;;460;outdoors;shift;hold;2;450cm_dance_run02_pre;20230114_mirror_dance02_dance_ID64.MTS;;
67;46;ID64;;20230114_mirror_dance02_dance_ID64.MTS;00:06:42;00:06:58;;;;;460;outdoors;shift;hold;2;450cm_dance_run02_post;20230114_mirror_dance02_dance_ID64.MTS;;
68;47;ID65;;20230114_mirror_dance02_midroll_ID65.MTS;00:04:27.055;00:04:41.404;00:04:30.655;;;;460;outdoors;shift;no;2;450cm_midroll_run02;20230114_mirror_dance02_midroll_ID65.MTS;;
69;48;ID66;;20230114_mirror_dance02_dance_ID66.MTS;00:01:48;00:01:52.192;;00:01:52.192;;;460;outdoors;shift;hold;2;450cm_dance_run02_pre;20230114_mirror_dance02_dance_ID66.MTS;;
70;48;ID66;;20230114_mirror_dance02_dance_ID66.MTS;00:01:55.520;00:02:11.857;;;;;460;outdoors;shift;hold;2;450cm_dance_run02_post;20230114_mirror_dance02_dance_ID66.MTS;;
71;49;ID67;;20230114_mirror_dance02_midroll_ID67.MTS;00:01:57.863;00:02:13.519;00:02:01.283;;;;460;outdoors;shift;no;2;450cm_midroll_run02;20230114_mirror_dance02_midroll_ID67.MTS;;
72;50;ID68;;20230114_mirror_dance02_dance_ID68.MTS;00:02:21;00:02:25.391;;00:02:25.391;;;460;outdoors;shift;hold;2;450cm_dance_run02_pre;20230114_mirror_dance02_dance_ID68.MTS;;
73;50;ID68;;20230114_mirror_dance02_dance_ID68.MTS;00:02:33.939;00:02:46.180;;;;;460;outdoors;shift;hold;2;450cm_dance_run02_post;20230114_mirror_dance02_dance_ID68.MTS;;
74;51;ID69;;20230114_mirror_dance02_midroll_ID69.MTS;00:02:34.482;00:02:45.369;00:02:39.698;;;;460;outdoors;shift;no;2;450cm_midroll_run02;20230114_mirror_dance02_midroll_ID69.MTS;;
75;52;ID70;;20230114_mirror_dance02_dance_ID70.MTS;00:02:33.124;00:02:37.453;;00:02:37.453;;;460;outdoors;shift;hold;2;450cm_dance_run02_pre;20230114_mirror_dance02_dance_ID70.MTS;;
76;52;ID70;;20230114_mirror_dance02_dance_ID70.MTS;00:02:41.773;00:02:54;;;;;460;outdoors;shift;hold;2;450cm_dance_run02_post;20230114_mirror_dance02_dance_ID70.MTS;;
77;53;ID71;;20230114_mirror_dance02_midroll_ID71.MTS;00:08:31.986;00:08:47.463;00:08:36;;;;460;outdoors;shift;no;2;450cm_midroll_run02;20230114_mirror_dance02_midroll_ID71.MTS;;
78;54;ID72;;20230114_mirror_dance02_dance_ID72.MTS;00:01:47.760;00:01:51.924;;00:01:51.924;;;460;outdoors;shift;hold;2;450cm_dance_run02_pre;20230114_mirror_dance02_dance_ID72.MTS;;
79;54;ID72;;20230114_mirror_dance02_dance_ID72.MTS;00:01:57.683;00:02:06.590;;;;;460;outdoors;shift;hold;2;450cm_dance_run02_post;20230114_mirror_dance02_dance_ID72.MTS;;
80;55;ID73;;20230114_mirror_dance02_midroll_ID73.MTS;00:02:46.811;00:02:59.8;00:02:51.310;;;;460;outdoors;shift;no;2;450cm_midroll_run02;20230114_mirror_dance02_midroll_ID73.MTS;;
81;56;ID74;;20230114_mirror_dance02_dance_ID74.MTS;00:02:57.157;00:03:02;;00:03:02;;;460;outdoors;shift;hold;2;450cm_dance_run02_pre;20230114_mirror_dance02_dance_ID74.MTS;;
82;56;ID74;;20230114_mirror_dance02_dance_ID74.MTS;00:03:15.429;00:03:30.332;;;;;460;outdoors;shift;hold;2;450cm_dance_run02_post;20230114_mirror_dance02_dance_ID74.MTS;;
83;57;ID76;;20230114_mirror_dance02_dance_ID76.MTS;00:03:18.220;00:03:22.989;;00:03:22.989;;;460;outdoors;shift;hold;2;450cm_dance_run02_pre;20230114_mirror_dance02_dance_ID76.MTS;;
84;57;ID76;;20230114_mirror_dance02_dance_ID76.MTS;00:03:42;00:03:55;;;;;460;outdoors;shift;hold;2;450cm_dance_run02_post;20230114_mirror_dance02_dance_ID76.MTS;;
85;58;ID77;;20230114_mirror_dance02_spontaneous_ID77.MTS;00:04:44.516;00:05:18.8;00:04:51.356;;00:04:52.615;00:04:56.3;460;outdoors;shift;no;2;450cm_spontaneous_run02;20230114_mirror_dance02_spontaneous_ID77.MTS;;
86;59;ID81;;20230114_mirror_dance02_midroll_ID81.MTS;00:03:53.127;00:04:14.543;00:03:59.155;;;;460;outdoors;shift;no;2;450cm_midroll_run02;20230114_mirror_dance02_midroll_ID81.MTS;;
87;60;ID84;;20230116_mirror_dance01_ID84_and_dance10_ID85.MTS;00:03:22;00:03:46.306;00:03:25.863;;;;460;outdoors;shift;no;1;450cm_midroll_run01;20230116_mirror_dance01_ID84_and_dance10_ID85.MTS;;
