dance_by,r,color,mean_resultant_vector,lower,upper
disrupt,11.272727272727273,"RGB{N0f8}(0.0, 0.153, 0.706)",0.2238259502326786,0.1097634537435766,0.3748812113835335
disrupt,11.505050505050505,"RGB{N0f8}(0.0, 0.153, 0.706)",0.22291647385866073,0.1093255825205822,0.37236108102158905
disrupt,11.737373737373737,"RGB{N0f8}(0.0, 0.153, 0.706)",0.2221434440334375,0.1090314835291117,0.3707452327037796
disrupt,11.969696969696969,"RGB{N0f8}(0.0, 0.153, 0.706)",0.22116363484353666,0.10864089617420492,0.36904392618162285
disrupt,12.202020202020202,"RGB{N0f8}(0.0, 0.153, 0.706)",0.22028611694447592,0.10812035131031748,0.36707272011811165
disrupt,12.434343434343434,"RGB{N0f8}(0.0, 0.153, 0.706)",0.2192864063320295,0.10744317213986287,0.36532285017408306
disrupt,12.666666666666666,"RGB{N0f8}(0.0, 0.153, 0.706)",0.21842693413633418,0.10679965740391259,0.36341336832029875
disrupt,12.8989898989899,"RGB{N0f8}(0.0, 0.153, 0.706)",0.21748553492449277,0.10638400458223587,0.3621482568196236
disrupt,13.131313131313131,"RGB{N0f8}(0.0, 0.153, 0.706)",0.21661360732570167,0.10567427621014805,0.360581877799111
disrupt,13.363636363636363,"RGB{N0f8}(0.0, 0.153, 0.706)",0.2156288813444591,0.10531730336462417,0.3590391837706551
disrupt,13.595959595959595,"RGB{N0f8}(0.0, 0.153, 0.706)",0.21475888951443897,0.10443223787913493,0.3571428827332049
disrupt,13.828282828282829,"RGB{N0f8}(0.0, 0.153, 0.706)",0.21385178230971763,0.10356367987511819,0.3550780671476188
disrupt,14.06060606060606,"RGB{N0f8}(0.0, 0.153, 0.706)",0.2129925306528111,0.10321782451631083,0.3538656354243093
disrupt,14.292929292929292,"RGB{N0f8}(0.0, 0.153, 0.706)",0.21212344290893573,0.10272112307876341,0.3523896796265329
disrupt,14.525252525252526,"RGB{N0f8}(0.0, 0.153, 0.706)",0.21111719916927693,0.10215655217793194,0.3514960192767063
disrupt,14.757575757575758,"RGB{N0f8}(0.0, 0.153, 0.706)",0.21015690170736245,0.10144787611092203,0.35002913566967736
disrupt,14.98989898989899,"RGB{N0f8}(0.0, 0.153, 0.706)",0.20929373057718847,0.10091879158499437,0.34915148060354306
disrupt,15.222222222222221,"RGB{N0f8}(0.0, 0.153, 0.706)",0.20832742018509928,0.10035060610523817,0.3474989977215799
disrupt,15.454545454545455,"RGB{N0f8}(0.0, 0.153, 0.706)",0.2074113084148054,0.09988763471618842,0.3463810771488066
disrupt,15.686868686868687,"RGB{N0f8}(0.0, 0.153, 0.706)",0.2064277925002842,0.09932686782625955,0.34559151632130886
disrupt,15.919191919191919,"RGB{N0f8}(0.0, 0.153, 0.706)",0.2054790424311783,0.09881187416493098,0.3448291068342982
disrupt,16.151515151515152,"RGB{N0f8}(0.0, 0.153, 0.706)",0.20455870122219838,0.09827672117315124,0.3433230444935364
disrupt,16.383838383838384,"RGB{N0f8}(0.0, 0.153, 0.706)",0.20379641923152447,0.0977443737399174,0.34258772360838746
disrupt,16.616161616161616,"RGB{N0f8}(0.0, 0.153, 0.706)",0.20272878683581338,0.09700328854180099,0.34123851112907183
disrupt,16.848484848484848,"RGB{N0f8}(0.0, 0.153, 0.706)",0.2018412977286061,0.0966627182247457,0.340339603936464
disrupt,17.08080808080808,"RGB{N0f8}(0.0, 0.153, 0.706)",0.2009499843196635,0.09623972709201935,0.33856014224794323
disrupt,17.31313131313131,"RGB{N0f8}(0.0, 0.153, 0.706)",0.2000365873227731,0.09567367387706885,0.3375557343085127
disrupt,17.545454545454547,"RGB{N0f8}(0.0, 0.153, 0.706)",0.19920907125979215,0.09506604718432571,0.3363808840173282
disrupt,17.77777777777778,"RGB{N0f8}(0.0, 0.153, 0.706)",0.19838739417363213,0.09453831796017045,0.3354475002328083
disrupt,18.01010101010101,"RGB{N0f8}(0.0, 0.153, 0.706)",0.19751553757373402,0.09390431360255547,0.33439690688679735
disrupt,18.242424242424242,"RGB{N0f8}(0.0, 0.153, 0.706)",0.19660629886551556,0.09320464922216531,0.33316234890659874
disrupt,18.474747474747474,"RGB{N0f8}(0.0, 0.153, 0.706)",0.19582228122150624,0.09242342446364227,0.33232281357134397
disrupt,18.707070707070706,"RGB{N0f8}(0.0, 0.153, 0.706)",0.19504424247815044,0.09177809495848897,0.3316100860790835
disrupt,18.939393939393938,"RGB{N0f8}(0.0, 0.153, 0.706)",0.19431532383204067,0.09107081375743994,0.33097778532539085
disrupt,19.171717171717173,"RGB{N0f8}(0.0, 0.153, 0.706)",0.19325851799482885,0.09043648108065935,0.3300986287102659
disrupt,19.404040404040405,"RGB{N0f8}(0.0, 0.153, 0.706)",0.1923989996926931,0.08977808820260248,0.3291345634228843
disrupt,19.636363636363637,"RGB{N0f8}(0.0, 0.153, 0.706)",0.19160494441187023,0.08907011138136862,0.32867449190635006
disrupt,19.86868686868687,"RGB{N0f8}(0.0, 0.153, 0.706)",0.1906540369252112,0.08846977208820919,0.32778370029633236
disrupt,20.1010101010101,"RGB{N0f8}(0.0, 0.153, 0.706)",0.1898888752143525,0.08770686691739718,0.32696378724338937
disrupt,20.333333333333332,"RGB{N0f8}(0.0, 0.153, 0.706)",0.18890050868500366,0.08717952981234134,0.3261986001950812
disrupt,20.565656565656564,"RGB{N0f8}(0.0, 0.153, 0.706)",0.1881726680205203,0.08639105322318091,0.3255815098593144
disrupt,20.7979797979798,"RGB{N0f8}(0.0, 0.153, 0.706)",0.18710226302348765,0.08570496188772854,0.3249110892266899
disrupt,21.03030303030303,"RGB{N0f8}(0.0, 0.153, 0.706)",0.18643335180153353,0.08513662789788176,0.3247249498434733
disrupt,21.262626262626263,"RGB{N0f8}(0.0, 0.153, 0.706)",0.18562360904344405,0.0843770280688596,0.3237016487779628
disrupt,21.494949494949495,"RGB{N0f8}(0.0, 0.153, 0.706)",0.18476588103584524,0.08370506891525639,0.32354563331318464
disrupt,21.727272727272727,"RGB{N0f8}(0.0, 0.153, 0.706)",0.18388944035097463,0.08299895055154509,0.32250902176331514
disrupt,21.95959595959596,"RGB{N0f8}(0.0, 0.153, 0.706)",0.1830143251869804,0.08222417405198261,0.32213634811469427
disrupt,22.19191919191919,"RGB{N0f8}(0.0, 0.153, 0.706)",0.18205098989946603,0.08152019599093999,0.32174002310508637
