light,r,color,mean_resultant_vector,lower,upper
dark,10.11111111111111,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7197440700341916,0.6262167023493772,0.8003220073016942
dark,10.343434343434344,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7171938223422754,0.6238726965420472,0.7977779001765288
dark,10.575757575757576,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7147050312567589,0.6217095456229186,0.7952895476489487
dark,10.808080808080808,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7122670959805913,0.6191717356329297,0.7927764882971695
dark,11.04040404040404,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7096828912283746,0.6167403818689394,0.7904075838994001
dark,11.272727272727273,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7071833505908124,0.614053965520761,0.787884667335416
dark,11.505050505050505,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7046024061949919,0.6115356040230681,0.7857909975495414
dark,11.737373737373737,"RGB{N0f8}(0.502, 0.502, 0.502)",0.7020356452714633,0.6095134135363598,0.7831658797034383
dark,11.969696969696969,"RGB{N0f8}(0.502, 0.502, 0.502)",0.699510751321353,0.6069034410555186,0.7806174773284762
dark,12.202020202020202,"RGB{N0f8}(0.502, 0.502, 0.502)",0.6969657779071237,0.604366166539152,0.7779501888986434
dark,12.434343434343434,"RGB{N0f8}(0.502, 0.502, 0.502)",0.6943268392633323,0.6016468957079405,0.7753754178478209
dark,12.666666666666666,"RGB{N0f8}(0.502, 0.502, 0.502)",0.6916644654552175,0.5993528012487098,0.7726318510712241
dark,12.8989898989899,"RGB{N0f8}(0.502, 0.502, 0.502)",0.6890534965126485,0.5967111706313595,0.7698417309317627
dark,13.131313131313131,"RGB{N0f8}(0.502, 0.502, 0.502)",0.686397822834558,0.5942826860072683,0.7673874949941283
dark,13.363636363636363,"RGB{N0f8}(0.502, 0.502, 0.502)",0.6838501029156052,0.5916543242907444,0.7650068333593764
dark,13.595959595959595,"RGB{N0f8}(0.502, 0.502, 0.502)",0.6811420212224545,0.5888822236755787,0.7625971238534814
dark,13.828282828282829,"RGB{N0f8}(0.502, 0.502, 0.502)",0.678426482386407,0.5855601937162022,0.7600980494336631
dark,14.06060606060606,"RGB{N0f8}(0.502, 0.502, 0.502)",0.6758960273109591,0.5828761426679057,0.7576117240470357
dark,14.292929292929292,"RGB{N0f8}(0.502, 0.502, 0.502)",0.6733636703762358,0.5795750700963511,0.755075679282774
dark,14.525252525252526,"RGB{N0f8}(0.502, 0.502, 0.502)",0.6707398339150732,0.5765807499790963,0.7526047302018015
dark,14.757575757575758,"RGB{N0f8}(0.502, 0.502, 0.502)",0.6680088523655461,0.5735237596616969,0.7499914909084127
dark,14.98989898989899,"RGB{N0f8}(0.502, 0.502, 0.502)",0.6653360570644711,0.5702536596462786,0.7478102421866675
dark,15.222222222222221,"RGB{N0f8}(0.502, 0.502, 0.502)",0.6626765091498181,0.5673694031746391,0.7453083853774151
dark,15.454545454545455,"RGB{N0f8}(0.502, 0.502, 0.502)",0.6600840951408218,0.5642871158256461,0.7430163809824769
dark,15.686868686868687,"RGB{N0f8}(0.502, 0.502, 0.502)",0.6572853605129649,0.5610372663650925,0.741049639486078
dark,15.919191919191919,"RGB{N0f8}(0.502, 0.502, 0.502)",0.6545467545149825,0.5580823922613996,0.7384650438453029
dark,16.151515151515152,"RGB{N0f8}(0.502, 0.502, 0.502)",0.6518343705855687,0.5548963314233815,0.7362078070572291
dark,16.383838383838384,"RGB{N0f8}(0.502, 0.502, 0.502)",0.6492984197383556,0.5520228153001945,0.7339375163951058
dark,16.616161616161616,"RGB{N0f8}(0.502, 0.502, 0.502)",0.6465060023333545,0.5491156999594012,0.731992425446036
dark,16.848484848484848,"RGB{N0f8}(0.502, 0.502, 0.502)",0.6436853499597827,0.545845995434524,0.7297489849579822
dark,17.08080808080808,"RGB{N0f8}(0.502, 0.502, 0.502)",0.6409115909088832,0.5424929448462608,0.7275020340891426
dark,17.31313131313131,"RGB{N0f8}(0.502, 0.502, 0.502)",0.6382156898578426,0.5388037554290268,0.7250601414494408
dark,17.545454545454547,"RGB{N0f8}(0.502, 0.502, 0.502)",0.6355126988524665,0.535400408075487,0.7227339374375285
dark,17.77777777777778,"RGB{N0f8}(0.502, 0.502, 0.502)",0.6325474214288114,0.5321080179225168,0.7204480426470288
dark,18.01010101010101,"RGB{N0f8}(0.502, 0.502, 0.502)",0.6297822401051894,0.5287481116449915,0.7179425231254467
dark,18.242424242424242,"RGB{N0f8}(0.502, 0.502, 0.502)",0.6269933500753775,0.5258101340459437,0.7157015090321953
dark,18.474747474747474,"RGB{N0f8}(0.502, 0.502, 0.502)",0.6241828307971321,0.5223128414641424,0.7135454653293564
dark,18.707070707070706,"RGB{N0f8}(0.502, 0.502, 0.502)",0.6213248932185671,0.5186933179602571,0.7116611125031331
dark,18.939393939393938,"RGB{N0f8}(0.502, 0.502, 0.502)",0.6186379864434799,0.5148408424721417,0.7097951771913591
dark,19.171717171717173,"RGB{N0f8}(0.502, 0.502, 0.502)",0.6158407915942948,0.5114293400718044,0.7075740087565614
dark,19.404040404040405,"RGB{N0f8}(0.502, 0.502, 0.502)",0.6130409650009583,0.5074087890851777,0.7050237698620411
dark,19.636363636363637,"RGB{N0f8}(0.502, 0.502, 0.502)",0.610089732282592,0.5028677484748405,0.7030799004656898
dark,19.86868686868687,"RGB{N0f8}(0.502, 0.502, 0.502)",0.6071416068835354,0.4993062582345784,0.7015956288429898
dark,20.1010101010101,"RGB{N0f8}(0.502, 0.502, 0.502)",0.604225690848814,0.49569701220075063,0.6993303974897033
dark,20.333333333333332,"RGB{N0f8}(0.502, 0.502, 0.502)",0.6013485733845209,0.49224461203903513,0.6970769097525416
dark,20.565656565656564,"RGB{N0f8}(0.502, 0.502, 0.502)",0.5983463568029472,0.48827752039465666,0.6950823833536237
dark,20.7979797979798,"RGB{N0f8}(0.502, 0.502, 0.502)",0.5953798104880204,0.48422836069351366,0.6929264460293185
dark,21.03030303030303,"RGB{N0f8}(0.502, 0.502, 0.502)",0.5924460409556225,0.4807225008154609,0.6911135892892154
dark,21.262626262626263,"RGB{N0f8}(0.502, 0.502, 0.502)",0.5894868678489565,0.476836436215531,0.6890212121115957
dark,21.494949494949495,"RGB{N0f8}(0.502, 0.502, 0.502)",0.5866609706330714,0.47339885602621257,0.6870561389273436
dark,21.727272727272727,"RGB{N0f8}(0.502, 0.502, 0.502)",0.5837301747357462,0.4694676144392723,0.6848576712031128
dark,21.95959595959596,"RGB{N0f8}(0.502, 0.502, 0.502)",0.5808637650208333,0.4652541697045982,0.6828251332268359
dark,22.19191919191919,"RGB{N0f8}(0.502, 0.502, 0.502)",0.5778891812691987,0.4607882578741166,0.6811931989991281
dark,22.424242424242426,"RGB{N0f8}(0.502, 0.502, 0.502)",0.5748790175278975,0.45686400789055465,0.6792535416070425
dark,22.656565656565657,"RGB{N0f8}(0.502, 0.502, 0.502)",0.5719832655064561,0.45275966930875966,0.6771356202180805
dark,22.88888888888889,"RGB{N0f8}(0.502, 0.502, 0.502)",0.5689731926783476,0.44886793684415066,0.6751249330827737
dark,23.12121212121212,"RGB{N0f8}(0.502, 0.502, 0.502)",0.5661574066706899,0.4447450416797741,0.6730001523500669
dark,23.353535353535353,"RGB{N0f8}(0.502, 0.502, 0.502)",0.5632990162959459,0.4411267602281994,0.6710150941698637
dark,23.585858585858585,"RGB{N0f8}(0.502, 0.502, 0.502)",0.5603985817055593,0.437732822604861,0.6694729538292499
dark,23.818181818181817,"RGB{N0f8}(0.502, 0.502, 0.502)",0.5574142548125651,0.4334115605595631,0.6675192581012909
dark,24.050505050505052,"RGB{N0f8}(0.502, 0.502, 0.502)",0.554462958543281,0.429270422622802,0.6653840949487635
dark,24.282828282828284,"RGB{N0f8}(0.502, 0.502, 0.502)",0.5515564643446207,0.42562418297381244,0.6632080455356949
dark,24.515151515151516,"RGB{N0f8}(0.502, 0.502, 0.502)",0.5485915762565223,0.42154284788133156,0.6609546913712792
dark,24.747474747474747,"RGB{N0f8}(0.502, 0.502, 0.502)",0.5455508118463457,0.4175560127767809,0.658962141536007
dark,24.97979797979798,"RGB{N0f8}(0.502, 0.502, 0.502)",0.5425337269724685,0.4140661789817736,0.6574145612513446
dark,25.21212121212121,"RGB{N0f8}(0.502, 0.502, 0.502)",0.5394357018933397,0.410378456679743,0.6555176191680322
dark,25.444444444444443,"RGB{N0f8}(0.502, 0.502, 0.502)",0.5363776513730301,0.4063796566970807,0.6536028858917344
dark,25.67676767676768,"RGB{N0f8}(0.502, 0.502, 0.502)",0.5333831797234961,0.402828346428047,0.651843040299717
dark,25.90909090909091,"RGB{N0f8}(0.502, 0.502, 0.502)",0.5304534669080354,0.3981027719231414,0.6498299390933787
dark,26.141414141414142,"RGB{N0f8}(0.502, 0.502, 0.502)",0.5273651109502879,0.3938007741882709,0.647980465726859
dark,26.373737373737374,"RGB{N0f8}(0.502, 0.502, 0.502)",0.5242369623263593,0.3894939174279125,0.6462041060205144
dark,26.606060606060606,"RGB{N0f8}(0.502, 0.502, 0.502)",0.5212378727086874,0.38552462450078606,0.6444077252983167
dark,26.838383838383837,"RGB{N0f8}(0.502, 0.502, 0.502)",0.518295737769251,0.3812908475928155,0.64275636735634
dark,27.07070707070707,"RGB{N0f8}(0.502, 0.502, 0.502)",0.5154032966189928,0.37707092271996406,0.6411695825189787
dark,27.303030303030305,"RGB{N0f8}(0.502, 0.502, 0.502)",0.5123635912327924,0.37315357025448714,0.6390226512913021
dark,27.535353535353536,"RGB{N0f8}(0.502, 0.502, 0.502)",0.5094245088803473,0.36895984264881915,0.6372201087083917
dark,27.767676767676768,"RGB{N0f8}(0.502, 0.502, 0.502)",0.5064273515989646,0.3648447753366211,0.6355389720405491
dark,28.0,"RGB{N0f8}(0.502, 0.502, 0.502)",0.5033809939137226,0.36080459957494554,0.6339896685064563
remain,5.0,"RGB{N0f8}(1.0, 0.478, 0.0)",0.9090008975306277,0.8616215981495495,0.9472386050927981
remain,5.232323232323233,"RGB{N0f8}(1.0, 0.478, 0.0)",0.9080580956276416,0.8607165210753503,0.9463479546714832
remain,5.4646464646464645,"RGB{N0f8}(1.0, 0.478, 0.0)",0.9070337250941234,0.8597551976170144,0.9454941559982184
remain,5.696969696969697,"RGB{N0f8}(1.0, 0.478, 0.0)",0.9060309598567223,0.8589032805177357,0.9445887972084459
remain,5.929292929292929,"RGB{N0f8}(1.0, 0.478, 0.0)",0.9050147007988332,0.8580047786901653,0.9436992093709694
remain,6.161616161616162,"RGB{N0f8}(1.0, 0.478, 0.0)",0.9039520369406697,0.8571080063569627,0.9427395263422474
remain,6.393939393939394,"RGB{N0f8}(1.0, 0.478, 0.0)",0.9028559751956895,0.8562684099300699,0.9417732603893995
remain,6.626262626262626,"RGB{N0f8}(1.0, 0.478, 0.0)",0.9018274298479481,0.8553606047615996,0.940698589942628
remain,6.858585858585859,"RGB{N0f8}(1.0, 0.478, 0.0)",0.9007436123158012,0.8544215196804217,0.9397600169193037
remain,7.090909090909091,"RGB{N0f8}(1.0, 0.478, 0.0)",0.8996134352876897,0.8534265453861455,0.9387603334876937
remain,7.3232323232323235,"RGB{N0f8}(1.0, 0.478, 0.0)",0.898492500730457,0.8523835245392694,0.9376903749061541
remain,7.555555555555555,"RGB{N0f8}(1.0, 0.478, 0.0)",0.8973705998304855,0.8514085242286827,0.9365438435617307
remain,7.787878787878788,"RGB{N0f8}(1.0, 0.478, 0.0)",0.8962504162045003,0.8502492382740992,0.9356082781907622
remain,8.02020202020202,"RGB{N0f8}(1.0, 0.478, 0.0)",0.8951171439048587,0.8491657541479114,0.9345723806336999
remain,8.252525252525253,"RGB{N0f8}(1.0, 0.478, 0.0)",0.8940035595122426,0.8481261991487771,0.933581144994682
remain,8.484848484848484,"RGB{N0f8}(1.0, 0.478, 0.0)",0.8928382766863521,0.8471173790962006,0.9325864254493053
remain,8.717171717171718,"RGB{N0f8}(1.0, 0.478, 0.0)",0.8916884823996911,0.8460594825558198,0.9315389279523325
remain,8.94949494949495,"RGB{N0f8}(1.0, 0.478, 0.0)",0.8905369760131551,0.8450136697742185,0.9303999651143467
remain,9.181818181818182,"RGB{N0f8}(1.0, 0.478, 0.0)",0.8893248692757895,0.8440712618763277,0.9292941008101487
remain,9.414141414141413,"RGB{N0f8}(1.0, 0.478, 0.0)",0.8881100079971183,0.8431565760621433,0.9282879267488712
remain,9.646464646464647,"RGB{N0f8}(1.0, 0.478, 0.0)",0.8869224340902344,0.8421062840365966,0.9270664133855225
remain,9.878787878787879,"RGB{N0f8}(1.0, 0.478, 0.0)",0.8857087021330874,0.840975374139915,0.9259425714338887
remain,10.11111111111111,"RGB{N0f8}(1.0, 0.478, 0.0)",0.8844279629615969,0.8398415824683608,0.924996108076356
