dance_by,r,color,mean_resultant_vector,lower,upper
disrupt,12.555555555555555,"RGB{N0f8}(0.0, 0.153, 0.706)",0.21700728482332937,0.0808443071972137,0.4429858112004054
disrupt,12.777777777777779,"RGB{N0f8}(0.0, 0.153, 0.706)",0.21595713906946715,0.08024755924594121,0.4414187730278861
disrupt,13.0,"RGB{N0f8}(0.0, 0.153, 0.706)",0.21496454967525686,0.07971060521192845,0.4398017709046927
disrupt,13.222222222222221,"RGB{N0f8}(0.0, 0.153, 0.706)",0.21402048606934226,0.07933954344239669,0.4383747370810165
disrupt,13.444444444444445,"RGB{N0f8}(0.0, 0.153, 0.706)",0.21334070785938988,0.07887680399875305,0.43744543091036336
disrupt,13.666666666666666,"RGB{N0f8}(0.0, 0.153, 0.706)",0.21246951621200685,0.0785497627839428,0.4359422153922198
disrupt,13.88888888888889,"RGB{N0f8}(0.0, 0.153, 0.706)",0.21167547965146097,0.07821652626058628,0.43455405445743794
disrupt,14.11111111111111,"RGB{N0f8}(0.0, 0.153, 0.706)",0.2108038061878515,0.07779014632892152,0.43339186148027675
disrupt,14.333333333333334,"RGB{N0f8}(0.0, 0.153, 0.706)",0.21020114122937789,0.07722228189819291,0.43119925899832373
disrupt,14.555555555555555,"RGB{N0f8}(0.0, 0.153, 0.706)",0.20922707404184965,0.07659305709322742,0.4298998854963573
disrupt,14.777777777777779,"RGB{N0f8}(0.0, 0.153, 0.706)",0.20854535321372902,0.07615880111822229,0.4288800400701794
disrupt,15.0,"RGB{N0f8}(0.0, 0.153, 0.706)",0.20752710556954124,0.07558567153744013,0.427512525716931
disrupt,15.222222222222221,"RGB{N0f8}(0.0, 0.153, 0.706)",0.20696804356699874,0.07505260395694051,0.42604796425694647
disrupt,15.444444444444445,"RGB{N0f8}(0.0, 0.153, 0.706)",0.20601946176685848,0.07474848451946904,0.4247442717381295
disrupt,15.666666666666666,"RGB{N0f8}(0.0, 0.153, 0.706)",0.20511786834346102,0.07427089886028504,0.4229935117291963
disrupt,15.88888888888889,"RGB{N0f8}(0.0, 0.153, 0.706)",0.2042570880809323,0.07401323096899988,0.42157526989496774
